
# mes "*Hiccup*...... *Hiccup*.......";
#: npc/cities/amatsu.txt
msgctxt "Deniroz#cmd"
msgid "Here goes. One last time..."
msgstr ""

# mes "No! No, I was so close!";
#: npc/cities/comodo.txt
msgctxt "Deniroz#cmd"
msgid "No! No, I was so close!"
msgstr ""

# mes "Alright, next time I should";
#: npc/cities/comodo.txt
msgctxt "Deniroz#cmd"
msgid "Alright, next time I should"
msgstr ""

# mes "be even closer, right? Yeah.";
#: npc/cities/comodo.txt
msgctxt "Deniroz#cmd"
msgid "be even closer, right? Yeah."
msgstr ""

# mes "Okay, this time will be the";
#: npc/cities/comodo.txt
msgctxt "Deniroz#cmd"
msgid "Okay, this time will be the"
msgstr ""

# mes "last time. Not again! Alright,";
#: npc/cities/comodo.txt
msgctxt "Deniroz#cmd"
msgid "last time. Not again! Alright,"
msgstr ""

# mes "j-just one more t-time...";
#: npc/cities/comodo.txt
msgctxt "Deniroz#cmd"
msgid "j-just one more t-time..."
msgstr ""

# mes "[Shalone]";
#: npc/cities/comodo.txt
msgctxt "Shalone#cmd"
msgid "[Shalone]"
msgstr ""

# mes "Oh, I'm sorry, sir,";
#: npc/cities/comodo.txt
msgctxt "Shalone#cmd"
msgid "Oh, I'm sorry, sir,"
msgstr ""

# mes "but it looks like you";
#: npc/cities/comodo.txt
msgctxt "Shalone#cmd"
msgid "but it looks like you"
msgstr ""

# mes "lost again. Maybe you";
#: npc/cities/comodo.txt
msgctxt "Shalone#cmd"
msgid "lost again. Maybe you"
msgstr ""

# mes "should quit for now...";
#: npc/cities/comodo.txt
msgctxt "Shalone#cmd"
msgid "should quit for now..."
msgstr ""

# mes "You've been having quite";
#: npc/cities/comodo.txt
msgctxt "Shalone#cmd"
msgid "You've been having quite"
msgstr ""

# mes "a run of really bad luck...";
#: npc/cities/comodo.txt
msgctxt "Shalone#cmd"
msgid "a run of really bad luck..."
msgstr ""

# mes "[Stonae]";
#: npc/cities/comodo.txt
msgctxt "Stonae#cmd"
msgid "[Stonae]"
msgstr ""

# mes "N-no...";
#: npc/cities/comodo.txt
msgctxt "Stonae#cmd"
msgid "N-no..."
msgstr ""

# mes "I lost again?!";
#: npc/cities/comodo.txt
msgctxt "Stonae#cmd"
msgid "I lost again?!"
msgstr ""

# mes "But I can't quit like";
#: npc/cities/comodo.txt
msgctxt "Stonae#cmd"
msgid "But I can't quit like"
msgstr ""

# mes "this! I'm gonna keep";
#: npc/cities/comodo.txt
msgctxt "Stonae#cmd"
msgid "this! I'm gonna keep"
msgstr ""

# mes "going, and I'm gonna";
#: npc/cities/comodo.txt
msgctxt "Stonae#cmd"
msgid "going, and I'm gonna"
msgstr ""

# mes "leave this place a winner!";
#: npc/cities/comodo.txt
msgctxt "Stonae#cmd"
msgid "leave this place a winner!"
msgstr ""

# mes "[G . J]";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "[G . J]"
msgstr ""

# mes "The more I think about it,";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "The more I think about it,"
msgstr ""

# mes "it seems easier to become";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "it seems easier to become"
msgstr ""

# mes "rich by working, saving, and";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "rich by working, saving, and"
msgstr ""

# mes "making wise investments than";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "making wise investments than"
msgstr ""

# mes "to, you know... Rely on some";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "to, you know... Rely on some"
msgstr ""

# mes "kind of huge jackpot prize.";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "kind of huge jackpot prize."
msgstr ""

# mes "Gambling seems fun, but";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "Gambling seems fun, but"
msgstr ""

# mes "it seems smarter to make";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "it seems smarter to make"
msgstr ""

# mes "money in other ways. Sure,";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "money in other ways. Sure,"
msgstr ""

# mes "working hard is no fun, but";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "working hard is no fun, but"
msgstr ""

# mes "there are ways to use your money to make more of it, right?";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "there are ways to use your money to make more of it, right?"
msgstr ""

# mes "There's also the matter of";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "There's also the matter of"
msgstr ""

# mes "being smart and responsible";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "being smart and responsible"
msgstr ""

# mes "about your money--I mean, you're more likely to blow all your cash";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "about your money--I mean, you're more likely to blow all your cash"
msgstr ""

# mes "if you win it, right? Yeah, you";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "if you win it, right? Yeah, you"
msgstr ""

# mes "gotta be wise about it all...";
#: npc/cities/comodo.txt
msgctxt "G . J#cmd"
msgid "gotta be wise about it all..."
msgstr ""

# mes "[Loyar]";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "[Loyar]"
msgstr ""

# mes "Comodo Casino's interior";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "Comodo Casino's interior"
msgstr ""

# mes "design is so pleasing to the";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "design is so pleasing to the"
msgstr ""

# mes "eyes, so clean and simple.";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "eyes, so clean and simple."
msgstr ""

# mes "The atmosphere here is perfect,";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "The atmosphere here is perfect,"
msgstr ""

# mes "and it makes me want to play ";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "and it makes me want to play "
msgstr ""

# mes "some more. Alright, let's go!";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "some more. Alright, let's go!"
msgstr ""

# mes "Hmm... Maybe I better";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "Hmm... Maybe I better"
msgstr ""

# mes "go home soon. I didn't";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "go home soon. I didn't"
msgstr ""

# mes "spend all the money that";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "spend all the money that"
msgstr ""

# mes "I set aside for gambling";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "I set aside for gambling"
msgstr ""

# mes "quite yet, but it's not a good";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "quite yet, but it's not a good"
msgstr ""

# mes "idea to stay out too long.";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "idea to stay out too long."
msgstr ""

# mes "I have to admit, the";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "I have to admit, the"
msgstr ""

# mes "atmosphere of this place";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "atmosphere of this place"
msgstr ""

# mes "is exciting and addictive.";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "is exciting and addictive."
msgstr ""

# mes "Even when you're tired, the";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "Even when you're tired, the"
msgstr ""

# mes "energy of this place just";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "energy of this place just"
msgstr ""

# mes "gets into you, you know?";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "gets into you, you know?"
msgstr ""

# mes "Although this kind of place";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "Although this kind of place"
msgstr ""

# mes "may encourage people with";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "may encourage people with"
msgstr ""

# mes "serious gambling problems,";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "serious gambling problems,"
msgstr ""

# mes "it's much nicer to gamble";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "it's much nicer to gamble"
msgstr ""

# mes "here than in a place that's";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "here than in a place that's"
msgstr ""

# mes "dirtier and more questionable.";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "dirtier and more questionable."
msgstr ""

# mes "Whoa whoa whoa...";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "Whoa whoa whoa..."
msgstr ""

# mes "Why did that guy make";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "Why did that guy make"
msgstr ""

# mes "that bet? What an amateur...";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "that bet? What an amateur..."
msgstr ""

# mes "Er, I guess you don't know";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "Er, I guess you don't know"
msgstr ""

# mes "too much about this game.";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "too much about this game."
msgstr ""

# mes "As for me, I'm just a fan~";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "As for me, I'm just a fan~"
msgstr ""

# mes "I'm a big fan of a lot";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "I'm a big fan of a lot"
msgstr ""

# mes "of these games, but I'll";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "of these games, but I'll"
msgstr ""

# mes "admit that I'm an even bigger";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "admit that I'm an even bigger"
msgstr ""

# mes "fan of winning! Still, I have";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "fan of winning! Still, I have"
msgstr ""

# mes "enough sense to stay out of";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "enough sense to stay out of"
msgstr ""

# mes "those high stakes games.";
#: npc/cities/comodo.txt
msgctxt "Loyar#cmd"
msgid "those high stakes games."
msgstr ""

# mes "[Moo]";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "[Moo]"
msgstr ""

# mes "Those cheating punks!";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "Those cheating punks!"
msgstr ""

# mes "They'll never show their";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "They'll never show their"
msgstr ""

# mes "faces here again: otherwise";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "faces here again: otherwise"
msgstr ""

# mes "they're gonna hafta get new";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "they're gonna hafta get new"
msgstr ""

# mes "ones! Oh--Sorry, I didn't";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "ones! Oh--Sorry, I didn't"
msgstr ""

# mes "see you there~ Hahahaha~";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "see you there~ Hahahaha~"
msgstr ""

# mes "Greetings, I am Moo,";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "Greetings, I am Moo,"
msgstr ""

# mes "manager of the Comodo";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "manager of the Comodo"
msgstr ""

# mes "Casino. We pride ourselves in";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "Casino. We pride ourselves in"
msgstr ""

# mes "serving all of our customers'";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "serving all of our customers'"
msgstr ""

# mes "needs, doing all we can so that your visit here is unforgettable.";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "needs, doing all we can so that your visit here is unforgettable."
msgstr ""

# mes "All of our guests can enjoy";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "All of our guests can enjoy"
msgstr ""

# mes "our general gaming area, and";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "our general gaming area, and"
msgstr ""

# mes "we also provide a VIP area";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "we also provide a VIP area"
msgstr ""

# mes "where high rollers can play";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "where high rollers can play"
msgstr ""

# mes "exciting high stakes games.";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "exciting high stakes games."
msgstr ""

# mes "We always welcome all of";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "We always welcome all of"
msgstr ""

# mes "your suggestions, and are";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "your suggestions, and are"
msgstr ""

# mes "always seeking to improve";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "always seeking to improve"
msgstr ""

# mes "your experience here in";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "your experience here in"
msgstr ""

# mes "the Comodo Casino.";
#: npc/cities/comodo.txt
msgctxt "Moo#cmd"
msgid "the Comodo Casino."
msgstr ""

# mes "[Zyosegirl]";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "[Zyosegirl]"
msgstr ""

# mes "People call me the";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "People call me the"
msgstr ""

# mes "Sea Lady because I'm";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "Sea Lady because I'm"
msgstr ""

# mes "always here working,";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "always here working,"
msgstr ""

# mes "gathering clams and other";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "gathering clams and other"
msgstr ""

# mes "sea creatures to sell. It's";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "sea creatures to sell. It's"
msgstr ""

# mes "a pretty good living, actually.";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "a pretty good living, actually."
msgstr ""

# mes "It's nice to be able to work";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "It's nice to be able to work"
msgstr ""

# mes "outdoors, but someday, I want";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "outdoors, but someday, I want"
msgstr ""

# mes "to save enough money and move";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "to save enough money and move"
msgstr ""

# mes "to the city. I'm still young, you know, and I've got dreams";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "to the city. I'm still young, you know, and I've got dreams"
msgstr ""

# mes "that I want to fulfill~";
#: npc/cities/comodo.txt
msgctxt "Zyosegirl#cmd"
msgid "that I want to fulfill~"
msgstr ""

# mes "[Ziyaol]";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "[Ziyaol]"
msgstr ""

# mes "Ahhh, it's nice being";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "Ahhh, it's nice being"
msgstr ""

# mes "a fisherman. You just";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "a fisherman. You just"
msgstr ""

# mes "relax and let the fish";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "relax and let the fish"
msgstr ""

# mes "come to you. Well, it takes";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "come to you. Well, it takes"
msgstr ""

# mes "some skill to catch as much";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "some skill to catch as much"
msgstr ""

# mes "fish as I do with no effort~";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "fish as I do with no effort~"
msgstr ""

# mes "I like the leisure involved";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "I like the leisure involved"
msgstr ""

# mes "in my job, but if it's not one";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "in my job, but if it's not one"
msgstr ""

# mes "thing, it's another. Yeah, that";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "thing, it's another. Yeah, that"
msgstr ""

# mes "daughter of mine over there";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "daughter of mine over there"
msgstr ""

# mes "won't stop harping about ";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "won't stop harping about "
msgstr ""

# mes "moving to the biiig city.";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "moving to the biiig city."
msgstr ""

# mes "Why does she want to leave";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "Why does she want to leave"
msgstr ""

# mes "me so badly?! But if I don't";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "me so badly?! But if I don't"
msgstr ""

# mes "let her go, she'll run away.";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "let her go, she'll run away."
msgstr ""

# mes "What am I going to do with";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "What am I going to do with"
msgstr ""

# mes "that girl? Well, I can't really";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "that girl? Well, I can't really"
msgstr ""

# mes "stop her from dreaming...";
#: npc/cities/comodo.txt
msgctxt "Ziyaol#cmd"
msgid "stop her from dreaming..."
msgstr ""

# mes "[Daeguro]";
#: npc/cities/comodo.txt
msgctxt "Daeguro#cmd"
msgid "[Daeguro]"
msgstr ""

# mes "I love playing in";
#: npc/cities/comodo.txt
msgctxt "Daeguro#cmd"
msgid "I love playing in"
msgstr ""

# mes "the sand-- it's so soft";
#: npc/cities/comodo.txt
msgctxt "Daeguro#cmd"
msgid "the sand-- it's so soft"
msgstr ""

# mes "and clean and pretty!";
#: npc/cities/comodo.txt
msgctxt "Daeguro#cmd"
msgid "and clean and pretty!"
msgstr ""

# mes "But when I grow up,";
#: npc/cities/comodo.txt
msgctxt "Daeguro#cmd"
msgid "But when I grow up,"
msgstr ""

# mes "I wanna go to Alberta";
#: npc/cities/comodo.txt
msgctxt "Daeguro#cmd"
msgid "I wanna go to Alberta"
msgstr ""

# mes "and see everything I can!";
#: npc/cities/comodo.txt
msgctxt "Daeguro#cmd"
msgid "and see everything I can!"
msgstr ""

# mes "[Rahasu]";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "[Rahasu]"
msgstr ""

# mes "Hey, I'm Rahasu.";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "Hey, I'm Rahasu."
msgstr ""

# mes "If you want to learn";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "If you want to learn"
msgstr ""

# mes "a little more about";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "a little more about"
msgstr ""

# mes "Paros Lighthouse, I'll";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "Paros Lighthouse, I'll"
msgstr ""

# mes "be happy to tell you.";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "be happy to tell you."
msgstr ""

# if (select("Paros Lighthouse?", "Cancel") == 1) {
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "Paros Lighthouse?"
msgstr ""

# if (select("Paros Lighthouse?", "Cancel") == 1) {
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "Cancel"
msgstr ""

# mes "For many years, this";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "For many years, this"
msgstr ""

# mes "lighthouse guided many";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "lighthouse guided many"
msgstr ""

# mes "ships to shore. That was";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "ships to shore. That was"
msgstr ""

# mes "a long time ago: now this";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "a long time ago: now this"
msgstr ""

# mes "lighthouse sits quietly,";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "lighthouse sits quietly,"
msgstr ""

# mes "unused, but never unloved.";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "unused, but never unloved."
msgstr ""

# mes "Although this place";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "Although this place"
msgstr ""

# mes "isn't the center of";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "isn't the center of"
msgstr ""

# mes "trade and commerce that";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "trade and commerce that"
msgstr ""

# mes "it used to be, plenty of";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "it used to be, plenty of"
msgstr ""

# mes "people still wander to this";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "people still wander to this"
msgstr ""

# mes "area. I wonder why, exactly...";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "area. I wonder why, exactly..."
msgstr ""

# mes "Hey, before you leave,";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "Hey, before you leave,"
msgstr ""

# mes "you really ought to check";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "you really ought to check"
msgstr ""

# mes "the view from the lighthouse.";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "the view from the lighthouse."
msgstr ""

# mes "It's... It's breathtaking...";
#: npc/cities/comodo.txt
msgctxt "Rahasu#cmd"
msgid "It's... It's breathtaking..."
msgstr ""

# mes "[Hallosu]";
#: npc/cities/comodo.txt
msgctxt "Hallosu#cmd"
msgid "[Hallosu]"
msgstr ""

# mes "Hello, this is one of the";
#: npc/cities/comodo.txt
msgctxt "Hallosu#cmd"
msgid "Hello, this is one of the"
msgstr ""

# mes "lighthouses that make up";
#: npc/cities/comodo.txt
msgctxt "Hallosu#cmd"
msgid "lighthouses that make up"
msgstr ""

# mes "Paros Lighthouse. However,";
#: npc/cities/comodo.txt
msgctxt "Hallosu#cmd"
msgid "Paros Lighthouse. However,"
msgstr ""

# mes "right now it's undergoing";
#: npc/cities/comodo.txt
msgctxt "Hallosu#cmd"
msgid "right now it's undergoing"
msgstr ""

# mes "renovation, so it's not";
#: npc/cities/comodo.txt
msgctxt "Hallosu#cmd"
msgid "renovation, so it's not"
msgstr ""

# mes "open to the public.";
#: npc/cities/comodo.txt
msgctxt "Hallosu#cmd"
msgid "open to the public."
msgstr ""

# mes "Would you like to";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "Would you like to"
msgstr ""

# mes "board a ship on the";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "board a ship on the"
msgstr ""

# mes "Reudelus route? You";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "Reudelus route? You"
msgstr ""

# mes "can travel on Reudelus";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "can travel on Reudelus"
msgstr ""

# mes "to Alberta or Izlude.";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "to Alberta or Izlude."
msgstr ""

# switch(select("Alberta - 600 Zeny", "Izlude - 800 Zeny", "Cancel")) {
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "Alberta - 600 Zeny"
msgstr ""

# switch(select("Alberta - 600 Zeny", "Izlude - 800 Zeny", "Cancel")) {
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "Izlude - 800 Zeny"
msgstr ""

# switch(select("Alberta - 600 Zeny", "Izlude - 800 Zeny", "Cancel")) {
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "Cancel"
msgstr ""

# mes "Travel by ship is";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "Travel by ship is"
msgstr ""

# mes "still one of the safest and";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "still one of the safest and"
msgstr ""

# mes "dependable methods of";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "dependable methods of"
msgstr ""

# mes "transportation. I invite you";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "transportation. I invite you"
msgstr ""

# mes "to try Reudelus travel soon~";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "to try Reudelus travel soon~"
msgstr ""

# mes "I'm sorry, but you";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "I'm sorry, but you"
msgstr ""

# mes "don't have enough";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "don't have enough"
msgstr ""

# mes "zeny for the boarding fare.";
#: npc/cities/comodo.txt
msgctxt "Zain#cmd"
msgid "zeny for the boarding fare."
msgstr ""

# mes "[Kafra Misty]";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "[Kafra Misty]"
msgstr ""

# mes "Welcome to the";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "Welcome to the"
msgstr ""

# mes "Kafra Corporation.";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "Kafra Corporation."
msgstr ""

# mes "You know that our";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "You know that our"
msgstr ""

# mes "service is always";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "service is always"
msgstr ""

# mes "on your side~";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "on your side~"
msgstr ""

# mes "The Kafra Corporation";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "The Kafra Corporation"
msgstr ""

# mes "Western Division promises";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "Western Division promises"
msgstr ""

# mes "the best quality service that";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "the best quality service that"
msgstr ""

# mes "emphasizes reliability, and";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "emphasizes reliability, and"
msgstr ""

# mes "total consumer satisfaction.";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "total consumer satisfaction."
msgstr ""

# mes "Thank you for your patronage~";
#: npc/cities/comodo.txt
msgctxt "Kafra Employee::kaf_comodo2"
msgid "Thank you for your patronage~"
msgstr ""

# mes "[Serutero]";
#: npc/cities/comodo.txt
msgctxt "Serutero#cmd"
msgid "[Serutero]"
msgstr ""

# mes "Hello, I'm Serutero,";
#: npc/cities/comodo.txt
msgctxt "Serutero#cmd"
msgid "Hello, I'm Serutero,"
msgstr ""

# mes "guardian of the roads that";
#: npc/cities/comodo.txt
msgctxt "Serutero#cmd"
msgid "guardian of the roads that"
msgstr ""

# mes "lead to Sandaruman Fortress.";
#: npc/cities/comodo.txt
msgctxt "Serutero#cmd"
msgid "lead to Sandaruman Fortress."
msgstr ""

# mes "If you really want to go there,";
#: npc/cities/comodo.txt
msgctxt "Serutero#cmd"
msgid "If you really want to go there,"
msgstr ""

# mes "I'll permit you to continue, but you must beware of its dangers...";
#: npc/cities/comodo.txt
msgctxt "Serutero#cmd"
msgid "I'll permit you to continue, but you must beware of its dangers..."
msgstr ""

# switch(select("I'm going there!", "Sandaruman Fortress?", "Cancel")) {
